teamA,teamB,date,league,teamA_win
Weibo Gaming,Rare Atom,2023-03-26,LPL,1
Anyone's Legend,ThunderTalk Gaming,2023-03-26,LPL,0
Team WE,Ninjas in Pyjamas,2023-03-25,LPL,1
JD Gaming,Ultra Prime,2023-03-25,LPL,1
Bilibili Gaming,Oh My God,2023-03-25,LPL,0
ThunderTalk Gaming,EDward Gaming,2023-03-24,LPL,0
LNG Esports,LGD Gaming,2023-03-24,LPL,1
FunPlus Phoenix,Top Esports,2023-03-23,LPL,0
Rare Atom,Royal Never Give Up,2023-03-23,LPL,0
Invictus Gaming,Bilibili Gaming,2023-03-22,LPL,0
LNG Esports,Ultra Prime,2023-03-22,LPL,1
Team WE,Weibo Gaming,2023-03-21,LPL,0
Oh My God,Top Esports,2023-03-21,LPL,1
JD Gaming,LGD Gaming,2023-03-20,LPL,1
Ninjas in Pyjamas,Royal Never Give Up,2023-03-20,LPL,1
LNG Esports,Invictus Gaming,2023-03-19,LPL,1
FunPlus Phoenix,EDward Gaming,2023-03-19,LPL,1
Top Esports,Bilibili Gaming,2023-03-18,LPL,0
Rare Atom,JD Gaming,2023-03-18,LPL,0
Weibo Gaming,Ninjas in Pyjamas,2023-03-18,LPL,1
EDward Gaming,Oh My God,2023-03-17,LPL,1
Anyone's Legend,FunPlus Phoenix,2023-03-17,LPL,1
Royal Never Give Up,Ultra Prime,2023-03-16,LPL,1
Team WE,LGD Gaming,2023-03-16,LPL,1
Anyone's Legend,LNG Esports,2023-03-15,LPL,0
ThunderTalk Gaming,Top Esports,2023-03-15,LPL,1
Ninjas in Pyjamas,Invictus Gaming,2023-03-14,LPL,1
Rare Atom,Ultra Prime,2023-03-14,LPL,1
Bilibili Gaming,ThunderTalk Gaming,2023-03-13,LPL,1
Weibo Gaming,Oh My God,2023-03-13,LPL,1
LNG Esports,JD Gaming,2023-03-12,LPL,0
FunPlus Phoenix,Rare Atom,2023-03-12,LPL,1
Anyone's Legend,EDward Gaming,2023-03-12,LPL,0
Weibo Gaming,Royal Never Give Up,2023-03-11,LPL,0
Top Esports,LGD Gaming,2023-03-11,LPL,0
Invictus Gaming,Team WE,2023-03-11,LPL,0
FunPlus Phoenix,Oh My God,2023-03-10,LPL,0
Ninjas in Pyjamas,Bilibili Gaming,2023-03-10,LPL,0
JD Gaming,ThunderTalk Gaming,2023-03-09,LPL,1
EDward Gaming,LGD Gaming,2023-03-09,LPL,1
Ultra Prime,Team WE,2023-03-08,LPL,0
Oh My God,Anyone's Legend,2023-03-08,LPL,1
Top Esports,LNG Esports,2023-03-07,LPL,0
EDward Gaming,Weibo Gaming,2023-03-07,LPL,1
Royal Never Give Up,Bilibili Gaming,2023-03-06,LPL,0
ThunderTalk Gaming,Rare Atom,2023-03-06,LPL,1
Ninjas in Pyjamas,FunPlus Phoenix,2023-03-05,LPL,0
JD Gaming,Oh My God,2023-03-05,LPL,0
Invictus Gaming,Ultra Prime,2023-03-05,LPL,1
EDward Gaming,LNG Esports,2023-03-04,LPL,1
Top Esports,Royal Never Give Up,2023-03-04,LPL,1
Weibo Gaming,Anyone's Legend,2023-03-04,LPL,1
Bilibili Gaming,LGD Gaming,2023-03-03,LPL,0
Rare Atom,Invictus Gaming,2023-03-03,LPL,0
JD Gaming,Team WE,2023-03-02,LPL,1
FunPlus Phoenix,ThunderTalk Gaming,2023-03-02,LPL,0
Weibo Gaming,LGD Gaming,2023-03-01,LPL,1
Oh My God,Ninjas in Pyjamas,2023-03-01,LPL,1
Top Esports,Team WE,2023-02-28,LPL,1
Royal Never Give Up,Anyone's Legend,2023-02-28,LPL,0
Ultra Prime,Bilibili Gaming,2023-02-27,LPL,0
EDward Gaming,Rare Atom,2023-02-27,LPL,1
Weibo Gaming,LNG Esports,2023-02-26,LPL,0
Oh My God,Invictus Gaming,2023-02-26,LPL,1
FunPlus Phoenix,LGD Gaming,2023-02-26,LPL,0
JD Gaming,Top Esports,2023-02-25,LPL,1
Ultra Prime,EDward Gaming,2023-02-25,LPL,0
Royal Never Give Up,ThunderTalk Gaming,2023-02-25,LPL,1
Team WE,Rare Atom,2023-02-24,LPL,1
Anyone's Legend,Ninjas in Pyjamas,2023-02-24,LPL,0
LNG Esports,Bilibili Gaming,2023-02-22,LPL,1
JD Gaming,FunPlus Phoenix,2023-02-22,LPL,1
Weibo Gaming,Invictus Gaming,2023-02-21,LPL,1
Oh My God,Ultra Prime,2023-02-21,LPL,0
LGD Gaming,Royal Never Give Up,2023-02-20,LPL,0
Ninjas in Pyjamas,ThunderTalk Gaming,2023-02-20,LPL,0
EDward Gaming,Top Esports,2023-02-19,LPL,0
Anyone's Legend,Team WE,2023-02-19,LPL,1
LNG Esports,FunPlus Phoenix,2023-02-19,LPL,1
Ultra Prime,Weibo Gaming,2023-02-18,LPL,0
Rare Atom,Bilibili Gaming,2023-02-18,LPL,0
Invictus Gaming,JD Gaming,2023-02-18,LPL,0
ThunderTalk Gaming,Oh My God,2023-02-17,LPL,0
LGD Gaming,Ninjas in Pyjamas,2023-02-17,LPL,1
Team WE,LNG Esports,2023-02-16,LPL,0
Royal Never Give Up,FunPlus Phoenix,2023-02-16,LPL,1
EDward Gaming,JD Gaming,2023-02-15,LPL,1
Anyone's Legend,Bilibili Gaming,2023-02-15,LPL,0
ThunderTalk Gaming,Weibo Gaming,2023-02-14,LPL,1
Top Esports,Invictus Gaming,2023-02-14,LPL,1
Oh My God,Rare Atom,2023-02-13,LPL,0
Ultra Prime,LGD Gaming,2023-02-13,LPL,1
Bilibili Gaming,EDward Gaming,2023-02-12,LPL,0
Royal Never Give Up,Team WE,2023-02-12,LPL,1
Ninjas in Pyjamas,LNG Esports,2023-02-12,LPL,1
JD Gaming,Weibo Gaming,2023-02-11,LPL,0
Invictus Gaming,FunPlus Phoenix,2023-02-11,LPL,1
ThunderTalk Gaming,LGD Gaming,2023-02-11,LPL,1
Top Esports,Ultra Prime,2023-02-10,LPL,1
Rare Atom,Anyone's Legend,2023-02-10,LPL,1
Royal Never Give Up,JD Gaming,2023-02-09,LPL,0
EDward Gaming,Ninjas in Pyjamas,2023-02-09,LPL,1
LNG Esports,Oh My God,2023-02-08,LPL,1
Bilibili Gaming,Team WE,2023-02-08,LPL,0
ThunderTalk Gaming,Ultra Prime,2023-02-07,LPL,1
Invictus Gaming,LGD Gaming,2023-02-07,LPL,1
JD Gaming,Anyone's Legend,2023-02-06,LPL,1
FunPlus Phoenix,Weibo Gaming,2023-02-06,LPL,0
EDward Gaming,Royal Never Give Up,2023-02-05,LPL,1
Rare Atom,LNG Esports,2023-02-05,LPL,0
Top Esports,Ninjas in Pyjamas,2023-02-05,LPL,1
Bilibili Gaming,Weibo Gaming,2023-02-04,LPL,1
Invictus Gaming,ThunderTalk Gaming,2023-02-04,LPL,0
Oh My God,Team WE,2023-02-04,LPL,1
FunPlus Phoenix,Ultra Prime,2023-02-03,LPL,1
LGD Gaming,Anyone's Legend,2023-02-03,LPL,1
Top Esports,Rare Atom,2023-02-02,LPL,1
Ninjas in Pyjamas,JD Gaming,2023-02-02,LPL,0
Royal Never Give Up,LNG Esports,2023-02-01,LPL,0
